id,Skill,Topic,Link
1,Python,Python and Django Full Stack Web Developer Bootcamp(Udemy),https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/
2,Python,Python Django 2021 - Complete Course(Udemy),https://www.udemy.com/course/python-django-2021-complete-course/
3,Python,Complete Machine Learning & Data Science Bootcamp 2022(Udemy),https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/
4,Python,Google IT Automation with Python Professional Certificate(Coursera),https://www.coursera.org/professional-certificates/google-it-automation
5,Python,Data Science Fundamentals with Python and SQL Specialization(Coursera),https://www.coursera.org/specializations/data-science-fundamentals-python-sql
6,Javascript,The Complete JavaScript Course 2022: From Zero to Expert!(Udemy),https://www.udemy.com/course/the-complete-javascript-course/?gclid=CjwKCAjwjZmTBhB4EiwAynRmD58uQPtjj7qQ30QsxgwZBxLRqSmxoIm5PLtzN8Mxi4nuLw_43etJYBoCA5MQAvD_BwE&matchtype=e&utm_campaign=LongTail_la.EN_cc.INDIA&utm_content=deal4584&utm_medium=udemyads&utm_source=adwords&utm_term=_._ag_80573541753_._ad_556267734653_._kw_javascript+course_._de_c_._dm__._pl__._ti_kwd-301591468701_._li_9300773_._pd__._
7,Javascript,JavaScript: The Advanced Concepts (2022 Update)(Udemy),https://www.udemy.com/course/advanced-javascript-concepts/
8,Javascript,JavaScript for Beginners Specialization(Coursera),https://www.coursera.org/specializations/javascript-beginner
9,Javascript,Web Design for Everybody: Basics of Web Development & Coding(Coursera),https://www.coursera.org/specializations/web-design
10,Javascript,Modern JavaScript From The Beginning(Udemy),https://www.udemy.com/course/modern-javascript-from-the-beginning/
